No,Iws
24992.0,5.37
24993.0,8.5
25024.0,1.79
25025.0,4.92
25056.0,4.46
25057.0,5.35
25088.0,125.15
25089.0,132.3
25120.0,36.2
25121.0,45.14
25152.0,288.32
25153.0,293.24
25184.0,0.89
25185.0,1.79
25216.0,7.15
25217.0,14.3
25248.0,3.58
25249.0,5.37
25280.0,4.02
25281.0,0.89
25312.0,2.67
25313.0,1.79
25344.0,0.89
25345.0,1.34
25376.0,3.13
25377.0,3.13
25408.0,3.13
25409.0,6.26
25440.0,9.83
25441.0,12.96
25472.0,0.89
25473.0,0.89
25504.0,155.57
25505.0,161.38
25536.0,3.58
25537.0,6.71
25568.0,4.45
25569.0,0.89
25600.0,1.79
25601.0,3.58
25632.0,1.34
25633.0,1.79
25664.0,29.95
25665.0,35.76
25696.0,3.13
25697.0,4.92
25728.0,62.57
25729.0,72.4
25760.0,305.29
25761.0,309.31
25792.0,8.5
25793.0,10.29
25824.0,12.51
25825.0,14.3
25856.0,7.16
25857.0,8.95
25888.0,110.89
25889.0,111.78
25920.0,3.58
25921.0,0.89
25952.0,29.95
25953.0,41.13
25984.0,1.79
25985.0,0.89
26016.0,9.84
26017.0,12.97
26048.0,13.41
26049.0,17.43
26080.0,17.88
26081.0,26.82
26112.0,0.45
26113.0,0.89
26144.0,8.94
26145.0,12.07
26176.0,5.34
26177.0,0.89
26208.0,0.89
26209.0,4.91
26240.0,42.46
26241.0,49.61
26272.0,98.35
26273.0,106.4
26304.0,1.79
26305.0,5.81
26336.0,185.09
26337.0,194.03
26368.0,3.13
26369.0,4.92
26400.0,1.79
26401.0,2.68
26432.0,22.34
26433.0,25.47
26464.0,0.89
26465.0,1.34
26496.0,82.24
26497.0,1.79
26528.0,13.86
26529.0,16.99
26560.0,2.67
26561.0,3.56
26592.0,1.79
26593.0,2.68
26624.0,0.89
26625.0,1.78
26656.0,1.78
26657.0,2.67
26688.0,22.36
26689.0,1.79
26720.0,2.68
26721.0,4.47
26752.0,6.71
26753.0,8.5
26784.0,0.9
26785.0,1.79
26816.0,1.78
26817.0,2.67
26848.0,7.16
26849.0,8.95
26880.0,0.45
26881.0,3.13
26912.0,7.6
26913.0,9.39
26944.0,1.79
26945.0,3.58
26976.0,0.89
26977.0,1.78
27008.0,1.79
27009.0,3.58
27040.0,1.79
27041.0,0.89
27072.0,27.27
27073.0,30.4
27104.0,0.89
27105.0,1.79
27136.0,16.54
27137.0,0.89
27168.0,0.89
27169.0,1.78
27200.0,4.92
27201.0,4.02
27232.0,3.13
27233.0,6.26
27264.0,7.15
27265.0,10.28
27296.0,5.37
27297.0,8.5
27328.0,7.15
27329.0,14.3
27360.0,1.79
27361.0,5.81
27392.0,34.41
27393.0,37.54
27424.0,5.37
27425.0,8.5
27456.0,7.15
27457.0,10.28
27488.0,8.05
27489.0,12.07
27520.0,2.68
27521.0,3.13
27552.0,1.34
27553.0,2.23
27584.0,8.05
27585.0,9.84
27616.0,0.89
27617.0,1.78
27648.0,21.91
27649.0,23.7
27680.0,4.91
27681.0,9.83
27712.0,48.28
27713.0,60.35
27744.0,14.76
27745.0,17.89
27776.0,7.14
27777.0,10.27
27808.0,3.13
27809.0,3.13
27840.0,1.78
27841.0,3.13
27872.0,0.45
27873.0,0.89
27904.0,29.95
27905.0,38.0
27936.0,148.85
27937.0,1.79
27968.0,1.78
27969.0,1.79
28000.0,8.94
28001.0,0.89
28032.0,14.31
28033.0,18.33
28064.0,1.79
28065.0,0.89
28096.0,10.73
28097.0,14.75
28128.0,0.89
28129.0,4.91
28160.0,12.51
28161.0,1.79
28192.0,4.02
28193.0,7.15
28224.0,11.17
28225.0,16.09
28256.0,89.84
28257.0,94.76
28288.0,2.68
28289.0,4.02
28320.0,22.36
28321.0,25.49
28352.0,0.89
28353.0,4.92
28384.0,20.57
28385.0,4.02
28416.0,14.3
28417.0,17.43
28448.0,68.41
28449.0,70.2
28480.0,8.05
28481.0,5.81
28512.0,0.89
28513.0,1.78
28544.0,0.89
28545.0,1.79
28576.0,57.23
28577.0,67.06
28608.0,23.25
28609.0,25.04
28640.0,45.59
28641.0,56.77
28672.0,1.79
28673.0,4.02
28704.0,207.86
28705.0,210.99
28736.0,0.89
28737.0,0.89
28768.0,29.95
28769.0,38.0
28800.0,49.17
28801.0,52.3
28832.0,8.5
28833.0,3.13
28864.0,40.68
28865.0,44.7
28896.0,1.79
28897.0,1.79
28928.0,2.68
28929.0,4.47
28960.0,25.48
28961.0,31.29
28992.0,4.92
28993.0,8.94
29024.0,13.86
29025.0,15.65
29056.0,141.24
29057.0,147.05
29088.0,45.6
29089.0,48.73
29120.0,0.89
29121.0,1.79
29152.0,42.48
29153.0,51.42
29184.0,6.71
29185.0,10.73
29216.0,57.67
29217.0,1.79
29248.0,1.79
29249.0,4.02
29280.0,59.44
29281.0,61.23
29312.0,0.89
29313.0,0.89
29344.0,16.1
29345.0,20.12
29376.0,53.2
29377.0,3.13
29408.0,2.67
29409.0,4.46
29440.0,33.97
29441.0,42.02
29472.0,26.37
29473.0,0.89
29504.0,40.23
29505.0,47.38
29536.0,8.94
29537.0,13.86
29568.0,41.57
29569.0,44.7
29600.0,3.13
29601.0,7.15
29632.0,29.06
29633.0,42.02
29664.0,87.62
29665.0,90.75
29696.0,0.45
29697.0,1.34
29728.0,8.94
29729.0,12.07
29760.0,1.78
29761.0,0.89
29792.0,0.89
29793.0,1.79
29824.0,1.79
29825.0,3.58
29856.0,10.73
29857.0,16.54
29888.0,0.89
29889.0,1.78
29920.0,35.31
29921.0,41.12
29952.0,0.45
29953.0,1.79
29984.0,0.89
29985.0,3.13
30016.0,1.79
30017.0,6.71
30048.0,1.79
30049.0,0.89
30080.0,6.71
30081.0,11.63
30112.0,0.89
30113.0,1.78
30144.0,1.78
30145.0,2.67
30176.0,1.79
30177.0,3.13
30208.0,17.43
30209.0,20.56
30240.0,11.17
30241.0,14.3
30272.0,3.13
30273.0,6.26
30304.0,3.58
30305.0,3.13
30336.0,25.93
30337.0,0.89
30368.0,1.79
30369.0,4.92
30400.0,3.58
30401.0,6.71
30432.0,54.54
30433.0,56.33
30464.0,1.79
30465.0,3.58
30496.0,22.34
30497.0,25.47
30528.0,9.39
30529.0,11.18
30560.0,3.13
30561.0,6.26
30592.0,37.55
30593.0,41.57
30624.0,0.89
30625.0,1.79
30656.0,1.79
30657.0,0.89
30688.0,75.54
30689.0,81.35
30720.0,0.89
30721.0,3.13
30752.0,23.69
30753.0,27.71
30784.0,23.7
30785.0,28.62
30816.0,37.98
30817.0,5.81
30848.0,1.34
30849.0,3.13
30880.0,15.2
30881.0,20.12
30912.0,11.18
30913.0,12.97
30944.0,2.68
30945.0,0.89
30976.0,1.79
30977.0,3.58
31008.0,7.16
31009.0,0.89
31040.0,1.79
31041.0,0.89
31072.0,31.28
31073.0,35.3
31104.0,1.78
31105.0,0.89
31136.0,0.89
31137.0,0.89
31168.0,13.42
31169.0,17.44
31200.0,36.66
31201.0,38.45
31232.0,20.11
31233.0,23.24
31264.0,8.94
31265.0,12.96
31296.0,0.89
31297.0,0.89
31328.0,0.89
31329.0,0.89
31360.0,3.13
31361.0,6.26
31392.0,7.15
31393.0,1.79
31424.0,4.02
31425.0,7.15
31456.0,10.73
31457.0,15.65
31488.0,6.26
31489.0,0.89
31520.0,0.89
31521.0,1.78
31552.0,19.22
31553.0,26.37
31584.0,4.92
31585.0,8.05
31616.0,1.78
31617.0,4.02
31648.0,19.22
31649.0,22.35
31680.0,2.68
31681.0,3.57
31712.0,0.89
31713.0,1.79
31744.0,11.63
31745.0,14.76
31776.0,2.67
31777.0,3.56
31808.0,5.81
31809.0,4.02
31840.0,1.79
31841.0,0.89
31872.0,0.89
31873.0,1.79
31904.0,0.89
31905.0,3.13
31936.0,9.39
31937.0,11.18
31968.0,1.78
31969.0,1.79
32000.0,10.28
32001.0,4.02
32032.0,1.79
32033.0,5.81
32064.0,2.67
32065.0,0.89
32096.0,12.97
32097.0,14.76
32128.0,1.79
32129.0,3.13
32160.0,1.79
32161.0,0.89
32192.0,3.13
32193.0,1.79
32224.0,1.79
32225.0,4.92
32256.0,0.89
32257.0,0.89
32288.0,4.02
32289.0,7.15
32320.0,0.89
32321.0,1.78
32352.0,35.33
32353.0,37.12
32384.0,6.26
32385.0,8.05
32416.0,16.99
32417.0,1.79
32448.0,3.13
32449.0,4.02
32480.0,4.02
32481.0,7.15
32512.0,10.28
32513.0,13.41
32544.0,3.56
32545.0,1.79
32576.0,3.58
32577.0,0.89
32608.0,3.58
32609.0,5.37
32640.0,0.89
32641.0,3.13
32672.0,27.71
32673.0,31.73
32704.0,31.73
32705.0,35.75
32736.0,3.58
32737.0,0.89
32768.0,0.89
32769.0,1.79
32800.0,3.13
32801.0,4.92
32832.0,2.23
32833.0,3.12
32864.0,3.13
32865.0,4.92
32896.0,3.58
32897.0,3.13
32928.0,1.79
32929.0,0.89
32960.0,0.89
32961.0,0.89
32992.0,3.57
32993.0,4.46
33024.0,1.78
33025.0,2.67
33056.0,0.89
33057.0,0.89
33088.0,66.16
33089.0,77.34
33120.0,0.89
33121.0,1.78
33152.0,7.16
33153.0,8.05
33184.0,57.21
33185.0,61.23
33216.0,1.78
33217.0,2.67
33248.0,1.78
33249.0,0.89
33280.0,9.84
33281.0,10.73
33312.0,124.27
33313.0,0.89
33344.0,1.34
33345.0,2.23
33376.0,22.81
33377.0,25.94
33408.0,29.06
33409.0,36.21
33440.0,101.03
33441.0,105.95
33472.0,7.15
33473.0,11.17
33504.0,0.89
33505.0,0.89
33536.0,2.67
33537.0,1.79
33568.0,6.71
33569.0,9.84
33600.0,0.89
33601.0,0.89
33632.0,7.58
33633.0,0.89
33664.0,68.85
33665.0,76.0
33696.0,1.79
33697.0,1.79
33728.0,1.78
33729.0,4.02
33760.0,19.67
33761.0,23.69
33792.0,3.13
33793.0,4.02
33824.0,130.07
33825.0,138.12
33856.0,12.96
33857.0,18.77
33888.0,0.89
33889.0,1.79
33920.0,25.49
33921.0,1.79
33952.0,8.5
33953.0,12.52
33984.0,194.45
33985.0,196.24
34016.0,168.09
34017.0,176.14
34048.0,0.89
34049.0,1.78
34080.0,0.89
34081.0,0.89
34112.0,16.1
34113.0,20.12
34144.0,10.28
34145.0,14.3
34176.0,34.87
34177.0,46.05
34208.0,0.89
34209.0,3.13
34240.0,257.92
34241.0,265.97
34272.0,480.54
34273.0,485.46
34304.0,25.03
34305.0,30.84
34336.0,3.13
34337.0,3.13
34368.0,1.78
34369.0,4.02
34400.0,1.79
34401.0,4.92
34432.0,0.89
34433.0,1.79
34464.0,0.89
34465.0,1.78
34496.0,4.92
34497.0,0.89
34528.0,213.23
34529.0,220.38
34560.0,132.32
34561.0,142.15
34592.0,8.94
34593.0,20.12
34624.0,8.94
34625.0,12.07
34656.0,1.79
34657.0,1.79
34688.0,9.39
34689.0,12.52
34720.0,9.39
34721.0,12.52
34752.0,1.79
34753.0,5.81
34784.0,14.31
34785.0,16.1
34816.0,3.58
34817.0,1.79
34848.0,0.89
34849.0,1.78
34880.0,0.89
34881.0,1.79
34912.0,42.03
34913.0,50.08
34944.0,343.77
34945.0,347.79
34976.0,46.93
34977.0,52.74
35008.0,15.65
35009.0,19.67
35040.0,4.92
35041.0,0.89
35072.0,16.09
35073.0,21.9
35104.0,5.35
35105.0,5.8
35136.0,4.92
35137.0,6.71
35168.0,29.95
35169.0,34.87
35200.0,27.72
35201.0,29.51
35232.0,24.13
35233.0,28.15
35264.0,20.57
35265.0,23.7
35296.0,1.79
35297.0,4.92
35328.0,0.89
35329.0,8.94
35360.0,1.79
35361.0,0.89
35392.0,1.79
35393.0,3.13
35424.0,0.89
35425.0,1.79
35456.0,0.89
35457.0,1.79
35488.0,7.15
35489.0,12.07
35520.0,46.04
35521.0,50.06
35552.0,328.55
35553.0,3.13
35584.0,1.78
35585.0,1.79
35616.0,2.68
35617.0,4.47
35648.0,9.84
35649.0,12.97
35680.0,38.9
35681.0,42.92
35712.0,3.13
35713.0,4.92
35744.0,0.89
35745.0,1.79
35776.0,6.71
35777.0,10.73
35808.0,5.79
35809.0,0.89
35840.0,7.15
35841.0,12.96
35872.0,96.13
35873.0,104.18
35904.0,0.89
35905.0,1.79
35936.0,1.34
35937.0,0.89
35968.0,46.06
35969.0,47.85
36000.0,50.51
36001.0,55.43
36032.0,1.79
36033.0,4.92
36064.0,4.02
36065.0,8.04
36096.0,24.59
36097.0,28.61
36128.0,4.47
36129.0,0.89
36160.0,8.95
36161.0,0.89
36192.0,25.93
36193.0,0.89
36224.0,7.16
36225.0,8.95
36256.0,1.79
36257.0,3.13
36288.0,0.89
36289.0,0.45
36320.0,14.3
36321.0,16.09
36352.0,4.45
36353.0,5.34
36384.0,1.78
36385.0,0.89
36416.0,0.89
36417.0,1.78
36448.0,4.92
36449.0,1.79
36480.0,3.58
36481.0,5.37
36512.0,3.58
36513.0,0.89
36544.0,3.58
36545.0,1.79
36576.0,105.5
36577.0,110.42
36608.0,3.58
36609.0,5.37
36640.0,1.79
36641.0,3.58
36672.0,0.89
36673.0,1.79
36704.0,0.45
36705.0,0.89
36736.0,3.58
36737.0,1.79
36768.0,3.58
36769.0,6.71
36800.0,60.8
36801.0,63.93
36832.0,4.92
36833.0,8.05
36864.0,0.89
36865.0,0.89
36896.0,6.26
36897.0,10.28
36928.0,3.13
36929.0,6.26
36960.0,0.89
36961.0,4.02
36992.0,10.28
36993.0,12.07
37024.0,16.98
37025.0,21.0
37056.0,0.45
37057.0,0.89
37088.0,4.45
37089.0,5.34
37120.0,25.02
37121.0,0.89
37152.0,0.89
37153.0,1.78
37184.0,3.13
37185.0,3.13
37216.0,1.78
37217.0,4.02
37248.0,0.89
37249.0,0.89
37280.0,5.81
37281.0,12.96
37312.0,11.17
37313.0,7.15
37344.0,0.45
37345.0,0.9
37376.0,1.79
37377.0,0.89
37408.0,11.17
37409.0,16.09
37440.0,24.59
37441.0,27.72
37472.0,0.89
37473.0,1.79
37504.0,14.3
37505.0,18.32
37536.0,41.56
37537.0,43.35
37568.0,0.89
37569.0,1.79
37600.0,4.46
37601.0,1.79
37632.0,17.0
37633.0,18.79
37664.0,3.57
37665.0,5.36
37696.0,4.92
37697.0,4.02
37728.0,0.89
37729.0,1.79
37760.0,72.87
37761.0,76.0
37792.0,10.28
37793.0,14.3
37824.0,48.28
37825.0,53.2
37856.0,12.96
37857.0,17.88
37888.0,3.13
37889.0,3.13
37920.0,36.66
37921.0,38.45
37952.0,63.48
37953.0,66.61
37984.0,198.47
37985.0,207.41
38016.0,109.53
38017.0,123.39
38048.0,6.26
38049.0,11.18
38080.0,7.15
38081.0,10.28
38112.0,4.47
38113.0,0.89
38144.0,3.56
38145.0,4.92
38176.0,1.79
38177.0,3.58
38208.0,12.97
38209.0,0.89
38240.0,1.78
38241.0,1.79
38272.0,223.51
38273.0,4.02
38304.0,4.02
38305.0,1.79
38336.0,1.79
38337.0,4.92
38368.0,14.75
38369.0,20.56
38400.0,1.78
38401.0,2.67
38432.0,1.78
38433.0,3.13
38464.0,28.16
38465.0,36.21
38496.0,11.18
38497.0,15.2
38528.0,1.79
38529.0,0.89
38560.0,39.79
38561.0,48.73
38592.0,3.13
38593.0,0.89
38624.0,5.79
38625.0,6.68
38656.0,27.71
38657.0,33.52
38688.0,8.94
38689.0,14.75
38720.0,1.79
38721.0,3.13
38752.0,12.07
38753.0,16.09
38784.0,3.13
38785.0,1.79
38816.0,1.79
38817.0,3.58
38848.0,51.42
38849.0,54.55
38880.0,1.79
38881.0,4.92
38912.0,0.89
38913.0,1.78
38944.0,1.79
38945.0,4.92
38976.0,4.92
38977.0,0.89
39008.0,5.36
39009.0,8.49
39040.0,16.1
39041.0,17.89
39072.0,4.02
39073.0,7.15
39104.0,3.13
39105.0,7.15
39136.0,32.17
39137.0,36.19
39168.0,18.34
39169.0,19.23
39200.0,6.26
39201.0,8.05
39232.0,6.26
39233.0,8.05
39264.0,37.54
39265.0,40.67
39296.0,0.89
39297.0,2.68
39328.0,12.07
39329.0,3.13
39360.0,0.89
39361.0,1.79
39392.0,0.89
39393.0,0.89
39424.0,25.03
39425.0,29.05
39456.0,1.78
39457.0,4.02
39488.0,9.82
39489.0,1.79
39520.0,21.47
39521.0,4.02
39552.0,80.93
39553.0,82.72
39584.0,1.79
39585.0,3.58
39616.0,0.89
39617.0,1.79
39648.0,48.74
39649.0,49.63
39680.0,21.0
39681.0,25.02
39712.0,6.71
39713.0,11.18
39744.0,7.15
39745.0,3.13
39776.0,1.79
39777.0,1.79
39808.0,17.44
39809.0,19.23
39840.0,1.78
39841.0,3.57
39872.0,4.92
39873.0,8.05
39904.0,14.75
39905.0,1.79
39936.0,14.3
39937.0,17.43
39968.0,0.89
39969.0,1.34
40000.0,10.28
40001.0,13.41
40032.0,43.8
40033.0,45.59
40064.0,66.63
40065.0,68.42
40096.0,123.37
40097.0,129.18
40128.0,0.89
40129.0,1.78
40160.0,1.79
40161.0,3.58
40192.0,1.79
40193.0,3.58
40224.0,0.45
40225.0,0.89
40256.0,12.97
40257.0,16.1
40288.0,21.01
40289.0,1.79
40320.0,31.29
40321.0,34.42
40352.0,1.79
40353.0,3.58
40384.0,3.58
40385.0,4.02
40416.0,1.79
40417.0,0.45
40448.0,3.13
40449.0,3.13
40480.0,13.86
40481.0,19.67
40512.0,3.58
40513.0,6.71
40544.0,0.89
40545.0,1.79
40576.0,12.97
40577.0,16.99
40608.0,38.88
40609.0,40.67
40640.0,0.89
40641.0,1.78
40672.0,0.89
40673.0,3.13
40704.0,7.15
40705.0,11.17
40736.0,11.63
40737.0,3.13
40768.0,4.92
40769.0,6.71
40800.0,5.37
40801.0,6.26
40832.0,2.68
40833.0,0.89
40864.0,0.89
40865.0,1.78
40896.0,0.89
40897.0,1.78
40928.0,3.58
40929.0,1.79
40960.0,0.89
40961.0,4.92
40992.0,4.92
40993.0,8.05
41024.0,0.89
41025.0,0.89
41056.0,16.54
41057.0,19.67
41088.0,2.67
41089.0,3.56
41120.0,0.89
41121.0,1.78
41152.0,5.37
41153.0,0.89
41184.0,0.89
41185.0,0.89
41216.0,4.02
41217.0,8.04
41248.0,7.15
41249.0,10.28
41280.0,11.63
41281.0,13.42
41312.0,13.41
41313.0,16.54
41344.0,10.28
41345.0,14.3
41376.0,5.37
41377.0,10.29
41408.0,1.78
41409.0,2.67
41440.0,1.78
41441.0,2.23
41472.0,0.89
41473.0,1.79
41504.0,9.39
41505.0,12.52
41536.0,0.89
41537.0,1.79
41568.0,2.67
41569.0,1.79
41600.0,33.1
41601.0,0.89
41632.0,9.84
41633.0,12.97
41664.0,5.37
41665.0,0.89
41696.0,25.49
41697.0,26.38
41728.0,4.02
41729.0,9.83
41760.0,0.89
41761.0,2.68
41792.0,0.89
41793.0,2.68
41824.0,1.79
41825.0,0.89
41856.0,1.78
41857.0,0.89
41888.0,16.1
41889.0,20.12
41920.0,2.68
41921.0,1.79
41952.0,4.91
41953.0,5.8
41984.0,4.9
41985.0,5.79
42016.0,6.26
42017.0,10.28
42048.0,1.34
42049.0,2.23
42080.0,0.89
42081.0,0.89
42112.0,4.02
42113.0,7.15
42144.0,2.68
42145.0,0.89
42176.0,10.74
42177.0,12.53
42208.0,5.37
42209.0,7.16
42240.0,11.17
42241.0,15.19
42272.0,1.78
42273.0,2.67
42304.0,5.35
42305.0,1.79
42336.0,2.67
42337.0,0.89
42368.0,0.89
42369.0,1.78
42400.0,210.08
42401.0,218.13
42432.0,4.45
42433.0,5.34
42464.0,6.71
42465.0,8.5
42496.0,55.88
42497.0,59.01
42528.0,0.89
42529.0,0.89
42560.0,12.52
42561.0,16.54
42592.0,8.05
42593.0,11.18
42624.0,133.68
42625.0,140.83
42656.0,0.89
42657.0,1.78
42688.0,1.79
42689.0,3.13
42720.0,0.89
42721.0,1.78
42752.0,1.79
42753.0,3.58
42784.0,1.79
42785.0,4.92
42816.0,1.79
42817.0,0.89
42848.0,11.17
42849.0,0.89
42880.0,3.13
42881.0,6.26
42912.0,0.45
42913.0,1.79
42944.0,1.78
42945.0,2.67
42976.0,1.78
42977.0,1.79
43008.0,3.13
43009.0,4.02
43040.0,0.89
43041.0,1.78
43072.0,89.86
43073.0,101.04
43104.0,388.48
43105.0,390.27
43136.0,20.11
43137.0,25.92
43168.0,64.37
43169.0,70.18
43200.0,3.58
43201.0,0.45
43232.0,1.79
43233.0,3.58
43264.0,3.13
43265.0,1.79
43296.0,0.89
43297.0,0.89
43328.0,168.97
43329.0,173.89
43360.0,126.05
43361.0,131.86
43392.0,1.78
43393.0,2.67
43424.0,9.83
43425.0,18.77
43456.0,280.27
43457.0,286.08
43488.0,1.79
43489.0,1.79
43520.0,22.35
43521.0,30.4
43552.0,262.85
43553.0,270.0
43584.0,0.89
43585.0,1.78
43616.0,9.39
43617.0,12.52
43648.0,25.03
43649.0,30.84
43680.0,2.68
43681.0,4.47
43712.0,13.42
43713.0,16.55
43744.0,20.11
43745.0,25.92
43776.0,1.79
43777.0,0.89
43808.0,143.03
43809.0,150.18
43824.0,249.85
