timedelta,dst
47 days 00:00:00,-1.0
49 days 15:00:00,-5.0
49 days 16:00:00,-8.0
52 days 07:00:00,0.0
52 days 08:00:00,0.0
54 days 23:00:00,-6.0
55 days 00:00:00,-19.0
57 days 15:00:00,-8.0
57 days 16:00:00,-8.0
60 days 07:00:00,-5.0
60 days 08:00:00,-4.0
62 days 23:00:00,0.0
63 days 00:00:00,-2.0
65 days 15:00:00,-27.0
65 days 16:00:00,-28.0
68 days 07:00:00,-9.0
68 days 08:00:00,-10.0
70 days 23:00:00,4.0
71 days 00:00:00,-2.0
73 days 15:00:00,18.0
73 days 16:00:00,10.0
76 days 07:00:00,-28.0
76 days 08:00:00,-36.0
78 days 23:00:00,-13.0
79 days 00:00:00,-13.0
81 days 15:00:00,-11.0
81 days 16:00:00,-6.0
84 days 07:00:00,-7.0
84 days 08:00:00,-11.0
86 days 23:00:00,-10.0
87 days 00:00:00,-14.0
89 days 15:00:00,-15.0
89 days 16:00:00,-14.0
92 days 07:00:00,-18.0
92 days 08:00:00,-13.0
94 days 23:00:00,-20.0
95 days 00:00:00,-15.0
97 days 15:00:00,-1.0
97 days 16:00:00,-3.0
100 days 07:00:00,-6.0
100 days 08:00:00,-3.0
102 days 23:00:00,-2.0
103 days 00:00:00,-1.0
105 days 15:00:00,-1.0
105 days 16:00:00,0.0
108 days 07:00:00,-12.0
108 days 08:00:00,-9.0
110 days 23:00:00,-13.0
111 days 00:00:00,-6.0
113 days 15:00:00,-4.0
113 days 16:00:00,-5.0
116 days 07:00:00,-11.0
116 days 08:00:00,-10.0
118 days 23:00:00,3.0
119 days 00:00:00,5.0
121 days 15:00:00,2.0
121 days 16:00:00,2.0
124 days 07:00:00,-45.0
124 days 08:00:00,-42.0
126 days 23:00:00,-7.0
127 days 00:00:00,-9.0
129 days 15:00:00,4.0
129 days 16:00:00,7.0
132 days 07:00:00,-25.0
132 days 08:00:00,-25.0
134 days 23:00:00,-8.0
135 days 00:00:00,-10.0
137 days 15:00:00,-17.0
137 days 16:00:00,-21.0
140 days 07:00:00,-4.0
140 days 08:00:00,-5.0
142 days 23:00:00,6.0
143 days 00:00:00,7.0
145 days 15:00:00,8.0
145 days 16:00:00,8.0
148 days 07:00:00,4.0
148 days 08:00:00,7.0
150 days 23:00:00,4.0
151 days 00:00:00,5.0
153 days 15:00:00,-20.0
153 days 16:00:00,-16.0
156 days 07:00:00,-14.0
156 days 08:00:00,-11.0
158 days 23:00:00,-7.0
159 days 00:00:00,-4.0
161 days 15:00:00,-44.0
161 days 16:00:00,-42.0
164 days 07:00:00,-24.0
164 days 08:00:00,-24.0
166 days 23:00:00,-11.0
167 days 00:00:00,-10.0
169 days 15:00:00,-15.0
169 days 16:00:00,-12.0
172 days 07:00:00,-8.0
172 days 08:00:00,-12.0
174 days 23:00:00,-3.0
175 days 00:00:00,-2.0
177 days 15:00:00,-2.0
177 days 16:00:00,-2.0
180 days 07:00:00,13.0
180 days 08:00:00,12.0
182 days 23:00:00,-12.0
183 days 00:00:00,-8.0
185 days 15:00:00,-18.0
185 days 16:00:00,-21.0
188 days 07:00:00,8.0
188 days 08:00:00,8.0
190 days 23:00:00,-31.0
191 days 00:00:00,-28.0
193 days 15:00:00,-10.0
193 days 16:00:00,-10.0
196 days 07:00:00,2.0
196 days 08:00:00,2.0
198 days 23:00:00,-11.0
199 days 00:00:00,-10.0
201 days 15:00:00,-10.0
201 days 16:00:00,-14.0
204 days 07:00:00,4.0
204 days 08:00:00,3.0
206 days 23:00:00,7.0
207 days 00:00:00,7.0
209 days 15:00:00,9.0
209 days 16:00:00,8.0
212 days 07:00:00,-6.0
212 days 08:00:00,-6.0
214 days 23:00:00,-13.0
215 days 00:00:00,-15.0
217 days 15:00:00,-10.0
217 days 16:00:00,-10.0
220 days 07:00:00,-9.0
220 days 08:00:00,-10.0
222 days 23:00:00,6.0
223 days 00:00:00,5.0
225 days 15:00:00,-10.0
225 days 16:00:00,-8.0
228 days 07:00:00,-15.0
228 days 08:00:00,-14.0
230 days 23:00:00,-5.0
231 days 00:00:00,-7.0
233 days 15:00:00,0.0
233 days 16:00:00,0.0
236 days 07:00:00,-8.0
236 days 08:00:00,-6.0
238 days 23:00:00,-21.0
239 days 00:00:00,-21.0
241 days 15:00:00,-1.0
241 days 16:00:00,2.0
244 days 07:00:00,-4.0
244 days 08:00:00,-1.0
246 days 23:00:00,-5.0
247 days 00:00:00,3.0
249 days 15:00:00,3.0
249 days 16:00:00,7.0
252 days 07:00:00,-19.0
252 days 08:00:00,-29.0
254 days 23:00:00,-23.0
255 days 00:00:00,-21.0
257 days 15:00:00,3.0
257 days 16:00:00,3.0
260 days 07:00:00,-8.0
260 days 08:00:00,-10.0
262 days 23:00:00,-52.0
263 days 00:00:00,-61.0
265 days 15:00:00,-49.0
265 days 16:00:00,-43.0
268 days 07:00:00,-36.0
268 days 08:00:00,-38.0
270 days 23:00:00,1.0
271 days 00:00:00,-1.0
273 days 15:00:00,-35.0
273 days 16:00:00,-35.0
276 days 07:00:00,-2.0
276 days 08:00:00,-4.0
278 days 23:00:00,-5.0
279 days 00:00:00,-7.0
281 days 15:00:00,-3.0
281 days 16:00:00,0.0
284 days 07:00:00,-9.0
284 days 08:00:00,-8.0
286 days 23:00:00,-7.0
287 days 00:00:00,-10.0
289 days 15:00:00,5.0
289 days 16:00:00,5.0
292 days 07:00:00,9.0
292 days 08:00:00,7.0
294 days 23:00:00,0.0
295 days 00:00:00,-3.0
297 days 15:00:00,11.0
297 days 16:00:00,7.0
300 days 07:00:00,-7.0
300 days 08:00:00,-4.0
302 days 23:00:00,-3.0
303 days 00:00:00,-5.0
305 days 15:00:00,4.0
305 days 16:00:00,1.0
308 days 07:00:00,4.0
308 days 08:00:00,4.0
310 days 23:00:00,-23.0
311 days 00:00:00,-19.0
313 days 15:00:00,-5.0
313 days 16:00:00,-5.0
316 days 07:00:00,-52.0
316 days 08:00:00,-52.0
318 days 23:00:00,-16.0
319 days 00:00:00,-11.0
321 days 15:00:00,3.0
321 days 16:00:00,7.0
324 days 07:00:00,-16.0
324 days 08:00:00,-3.0
326 days 23:00:00,-7.0
327 days 00:00:00,-10.0
329 days 15:00:00,-20.0
329 days 16:00:00,-20.0
332 days 07:00:00,0.0
332 days 08:00:00,-1.0
334 days 23:00:00,-11.0
335 days 00:00:00,-13.0
337 days 15:00:00,-29.0
337 days 16:00:00,-29.0
340 days 07:00:00,-3.0
340 days 08:00:00,-3.0
342 days 23:00:00,-6.0
343 days 00:00:00,-5.0
345 days 15:00:00,-14.0
345 days 16:00:00,-14.0
348 days 07:00:00,5.0
348 days 08:00:00,4.0
350 days 23:00:00,3.0
351 days 00:00:00,1.0
353 days 15:00:00,0.0
353 days 16:00:00,0.0
356 days 07:00:00,-8.0
356 days 08:00:00,-2.0
358 days 23:00:00,-5.0
359 days 00:00:00,-6.0
361 days 15:00:00,0.0
361 days 16:00:00,-2.0
364 days 07:00:00,5.0
364 days 08:00:00,3.0
366 days 23:00:00,8.0
367 days 00:00:00,0.0
369 days 15:00:00,0.0
369 days 16:00:00,1.0
372 days 07:00:00,-25.0
372 days 08:00:00,-8.0
374 days 23:00:00,-6.0
375 days 00:00:00,0.0
377 days 15:00:00,22.0
377 days 16:00:00,19.0
380 days 07:00:00,4.0
380 days 08:00:00,3.0
382 days 23:00:00,-25.0
383 days 00:00:00,-14.0
385 days 15:00:00,-14.0
385 days 16:00:00,-13.0
388 days 07:00:00,-5.0
388 days 08:00:00,-5.0
390 days 23:00:00,0.0
391 days 00:00:00,-2.0
393 days 15:00:00,4.0
393 days 16:00:00,5.0
396 days 07:00:00,11.0
396 days 08:00:00,10.0
398 days 23:00:00,4.0
399 days 00:00:00,4.0
401 days 15:00:00,6.0
401 days 16:00:00,7.0
404 days 07:00:00,-12.0
404 days 08:00:00,-9.0
406 days 23:00:00,-11.0
407 days 00:00:00,-9.0
409 days 15:00:00,-6.0
409 days 16:00:00,-9.0
412 days 07:00:00,-1.0
412 days 08:00:00,1.0
414 days 23:00:00,12.0
415 days 00:00:00,12.0
417 days 15:00:00,17.0
417 days 16:00:00,14.0
420 days 07:00:00,-10.0
420 days 08:00:00,-19.0
422 days 23:00:00,-13.0
423 days 00:00:00,-14.0
425 days 15:00:00,6.0
425 days 16:00:00,6.0
428 days 07:00:00,1.0
428 days 08:00:00,-1.0
430 days 23:00:00,-11.0
431 days 00:00:00,-8.0
433 days 15:00:00,-6.0
433 days 16:00:00,-4.0
436 days 07:00:00,13.0
436 days 08:00:00,12.0
438 days 23:00:00,1.0
439 days 00:00:00,-3.0
441 days 15:00:00,4.0
441 days 16:00:00,4.0
444 days 07:00:00,9.0
444 days 08:00:00,7.0
446 days 23:00:00,-13.0
447 days 00:00:00,-15.0
449 days 15:00:00,-2.0
449 days 16:00:00,2.0
452 days 07:00:00,-28.0
452 days 08:00:00,-38.0
454 days 23:00:00,-32.0
455 days 00:00:00,-40.0
457 days 15:00:00,-25.0
457 days 16:00:00,-24.0
460 days 07:00:00,-27.0
460 days 08:00:00,-21.0
462 days 23:00:00,-17.0
463 days 00:00:00,-16.0
465 days 15:00:00,-3.0
465 days 16:00:00,-1.0
468 days 07:00:00,-15.0
468 days 08:00:00,-12.0
470 days 23:00:00,-21.0
471 days 00:00:00,-22.0
473 days 15:00:00,2.0
473 days 16:00:00,3.0
476 days 07:00:00,-17.0
476 days 08:00:00,-17.0
478 days 23:00:00,-15.0
479 days 00:00:00,-12.0
481 days 15:00:00,-11.0
481 days 16:00:00,-15.0
484 days 07:00:00,-18.0
484 days 08:00:00,-20.0
486 days 23:00:00,-38.0
487 days 00:00:00,-34.0
489 days 15:00:00,-8.0
489 days 16:00:00,-6.0
492 days 07:00:00,-6.0
492 days 08:00:00,-8.0
494 days 23:00:00,-28.0
495 days 00:00:00,-26.0
497 days 15:00:00,-25.0
497 days 16:00:00,-20.0
500 days 07:00:00,8.0
500 days 08:00:00,9.0
502 days 23:00:00,-19.0
503 days 00:00:00,-19.0
505 days 15:00:00,-28.0
505 days 16:00:00,-25.0
508 days 07:00:00,-35.0
508 days 08:00:00,-29.0
510 days 23:00:00,-30.0
511 days 00:00:00,-32.0
513 days 15:00:00,-13.0
513 days 16:00:00,-16.0
516 days 07:00:00,-26.0
516 days 08:00:00,-28.0
518 days 23:00:00,-6.0
519 days 00:00:00,-8.0
521 days 15:00:00,-40.0
521 days 16:00:00,-31.0
524 days 07:00:00,-20.0
524 days 08:00:00,-17.0
526 days 23:00:00,-8.0
527 days 00:00:00,-16.0
529 days 15:00:00,-15.0
529 days 16:00:00,-15.0
532 days 07:00:00,-35.0
532 days 08:00:00,-34.0
534 days 23:00:00,-21.0
535 days 00:00:00,-25.0
537 days 15:00:00,-20.0
537 days 16:00:00,-28.0
540 days 07:00:00,-27.0
540 days 08:00:00,-25.0
542 days 23:00:00,-19.0
543 days 00:00:00,-21.0
545 days 15:00:00,-8.0
545 days 16:00:00,-10.0
548 days 07:00:00,-8.0
548 days 08:00:00,-11.0
550 days 23:00:00,-13.0
551 days 00:00:00,-18.0
553 days 15:00:00,19.0
553 days 16:00:00,9.0
556 days 07:00:00,-33.0
556 days 08:00:00,-28.0
558 days 23:00:00,1.0
559 days 00:00:00,-2.0
561 days 15:00:00,-32.0
561 days 16:00:00,-29.0
564 days 07:00:00,-23.0
564 days 08:00:00,-27.0
566 days 23:00:00,-14.0
567 days 00:00:00,-8.0
569 days 15:00:00,-23.0
569 days 16:00:00,-23.0
572 days 07:00:00,-34.0
572 days 08:00:00,-33.0
574 days 23:00:00,-22.0
575 days 00:00:00,-18.0
577 days 15:00:00,-23.0
577 days 16:00:00,-21.0
580 days 07:00:00,1.0
580 days 08:00:00,-1.0
582 days 23:00:00,-52.0
583 days 00:00:00,-62.0
585 days 15:00:00,-90.0
585 days 16:00:00,-80.0
588 days 07:00:00,-21.0
588 days 08:00:00,-23.0
590 days 23:00:00,-13.0
591 days 00:00:00,-15.0
593 days 15:00:00,-14.0
593 days 16:00:00,-10.0
596 days 07:00:00,2.0
596 days 08:00:00,4.0
598 days 23:00:00,37.0
599 days 00:00:00,43.0
601 days 15:00:00,-2.0
601 days 16:00:00,-2.0
604 days 07:00:00,2.0
604 days 08:00:00,-3.0
606 days 23:00:00,4.0
607 days 00:00:00,3.0
609 days 15:00:00,-10.0
609 days 16:00:00,-11.0
612 days 07:00:00,-24.0
612 days 08:00:00,-24.0
614 days 23:00:00,-11.0
615 days 00:00:00,-11.0
617 days 15:00:00,-13.0
617 days 16:00:00,-17.0
620 days 07:00:00,-8.0
620 days 08:00:00,-8.0
622 days 23:00:00,1.0
623 days 00:00:00,4.0
625 days 15:00:00,4.0
625 days 16:00:00,3.0
628 days 07:00:00,-26.0
628 days 08:00:00,-26.0
630 days 23:00:00,-1.0
631 days 00:00:00,-3.0
633 days 15:00:00,-24.0
633 days 16:00:00,-24.0
636 days 07:00:00,3.0
636 days 08:00:00,5.0
638 days 23:00:00,-15.0
639 days 00:00:00,-11.0
641 days 15:00:00,-8.0
641 days 16:00:00,-8.0
644 days 07:00:00,-14.0
644 days 08:00:00,-10.0
646 days 23:00:00,8.0
647 days 00:00:00,10.0
649 days 15:00:00,-1.0
649 days 16:00:00,3.0
652 days 07:00:00,3.0
652 days 08:00:00,3.0
654 days 23:00:00,-214.0
655 days 00:00:00,-190.0
657 days 15:00:00,-44.0
657 days 16:00:00,-50.0
660 days 07:00:00,-32.0
660 days 08:00:00,-35.0
662 days 23:00:00,-20.0
663 days 00:00:00,-17.0
665 days 15:00:00,-8.0
665 days 16:00:00,-2.0
668 days 07:00:00,-4.0
668 days 08:00:00,0.0
670 days 23:00:00,-14.0
671 days 00:00:00,-11.0
673 days 15:00:00,-2.0
673 days 16:00:00,0.0
676 days 07:00:00,6.0
676 days 08:00:00,9.0
678 days 23:00:00,-32.0
679 days 00:00:00,-39.0
681 days 15:00:00,0.0
681 days 16:00:00,-1.0
684 days 07:00:00,-71.0
684 days 08:00:00,-60.0
686 days 23:00:00,-29.0
687 days 00:00:00,-30.0
689 days 15:00:00,-25.0
689 days 16:00:00,-23.0
692 days 07:00:00,-9.0
692 days 08:00:00,-10.0
694 days 23:00:00,6.0
695 days 00:00:00,4.0
697 days 15:00:00,1.0
697 days 16:00:00,0.0
700 days 07:00:00,3.0
700 days 08:00:00,3.0
702 days 23:00:00,2.0
703 days 00:00:00,6.0
705 days 15:00:00,-7.0
705 days 16:00:00,-5.0
708 days 07:00:00,-9.0
708 days 08:00:00,-11.0
710 days 23:00:00,-12.0
711 days 00:00:00,-9.0
713 days 15:00:00,-22.0
713 days 16:00:00,-22.0
716 days 07:00:00,15.0
716 days 08:00:00,10.0
718 days 23:00:00,-22.0
719 days 00:00:00,-18.0
721 days 15:00:00,8.0
721 days 16:00:00,11.0
724 days 07:00:00,10.0
724 days 08:00:00,13.0
726 days 23:00:00,8.0
727 days 00:00:00,9.0
729 days 15:00:00,12.0
729 days 16:00:00,12.0
732 days 07:00:00,0.0
732 days 08:00:00,0.0
734 days 23:00:00,13.0
735 days 00:00:00,14.0
737 days 15:00:00,-64.0
737 days 16:00:00,-67.0
740 days 07:00:00,-24.0
740 days 08:00:00,-26.0
742 days 23:00:00,-7.0
743 days 00:00:00,-14.0
745 days 15:00:00,-26.0
745 days 16:00:00,-28.0
748 days 07:00:00,-22.0
748 days 08:00:00,-17.0
750 days 23:00:00,11.0
751 days 00:00:00,8.0
753 days 15:00:00,-57.0
753 days 16:00:00,-55.0
756 days 07:00:00,-41.0
756 days 08:00:00,-42.0
758 days 23:00:00,-27.0
759 days 00:00:00,-21.0
761 days 15:00:00,-10.0
761 days 16:00:00,-10.0
764 days 07:00:00,-54.0
764 days 08:00:00,-54.0
766 days 23:00:00,-22.0
767 days 00:00:00,-21.0
769 days 15:00:00,-1.0
769 days 16:00:00,4.0
772 days 07:00:00,-42.0
772 days 08:00:00,-47.0
774 days 23:00:00,-16.0
775 days 00:00:00,-16.0
777 days 15:00:00,-4.0
777 days 16:00:00,-2.0
780 days 07:00:00,13.0
780 days 08:00:00,13.0
782 days 23:00:00,-44.0
783 days 00:00:00,-43.0
785 days 15:00:00,-24.0
785 days 16:00:00,-23.0
788 days 07:00:00,-2.0
788 days 08:00:00,0.0
790 days 23:00:00,-29.0
791 days 00:00:00,-7.0
793 days 15:00:00,-1.0
793 days 16:00:00,-2.0
796 days 07:00:00,13.0
796 days 08:00:00,7.0
798 days 23:00:00,-4.0
799 days 00:00:00,-1.0
801 days 15:00:00,-3.0
801 days 16:00:00,0.0
804 days 07:00:00,-2.0
804 days 08:00:00,-3.0
806 days 23:00:00,-34.0
807 days 00:00:00,-28.0
809 days 15:00:00,-10.0
809 days 16:00:00,-13.0
812 days 07:00:00,0.0
812 days 08:00:00,-1.0
814 days 23:00:00,-5.0
815 days 00:00:00,-1.0
817 days 15:00:00,-50.0
817 days 16:00:00,-57.0
820 days 07:00:00,-12.0
820 days 08:00:00,-12.0
822 days 23:00:00,3.0
823 days 00:00:00,9.0
825 days 15:00:00,-23.0
825 days 16:00:00,-26.0
828 days 07:00:00,-25.0
828 days 08:00:00,-24.0
830 days 23:00:00,-59.0
831 days 00:00:00,-48.0
833 days 15:00:00,-29.0
833 days 16:00:00,-30.0
836 days 07:00:00,-18.0
836 days 08:00:00,-20.0
838 days 23:00:00,-8.0
839 days 00:00:00,-10.0
841 days 15:00:00,-75.0
841 days 16:00:00,-67.0
844 days 07:00:00,4.0
844 days 08:00:00,-5.0
846 days 23:00:00,-1.0
847 days 00:00:00,0.0
849 days 15:00:00,4.0
849 days 16:00:00,3.0
852 days 07:00:00,12.0
852 days 08:00:00,14.0
854 days 23:00:00,-21.0
855 days 00:00:00,-21.0
857 days 15:00:00,-25.0
857 days 16:00:00,-25.0
860 days 07:00:00,-33.0
860 days 08:00:00,-29.0
862 days 23:00:00,-21.0
863 days 00:00:00,-17.0
865 days 15:00:00,-31.0
865 days 16:00:00,-29.0
868 days 07:00:00,-8.0
868 days 08:00:00,-7.0
870 days 23:00:00,-7.0
871 days 00:00:00,-8.0
873 days 15:00:00,-9.0
873 days 16:00:00,-10.0
876 days 07:00:00,6.0
876 days 08:00:00,2.0
878 days 23:00:00,0.0
879 days 00:00:00,2.0
881 days 15:00:00,-11.0
881 days 16:00:00,-17.0
884 days 07:00:00,-4.0
884 days 08:00:00,-5.0
886 days 23:00:00,-25.0
887 days 00:00:00,-25.0
889 days 15:00:00,-69.0
889 days 16:00:00,-69.0
892 days 07:00:00,-49.0
892 days 08:00:00,-56.0
894 days 23:00:00,-23.0
895 days 00:00:00,-26.0
897 days 15:00:00,-5.0
897 days 16:00:00,-4.0
900 days 07:00:00,-1.0
900 days 08:00:00,-10.0
902 days 23:00:00,4.0
903 days 00:00:00,-3.0
905 days 15:00:00,-4.0
905 days 16:00:00,-4.0
908 days 07:00:00,12.0
908 days 08:00:00,11.0
910 days 23:00:00,-17.0
911 days 00:00:00,-13.0
913 days 15:00:00,-13.0
913 days 16:00:00,-13.0
916 days 07:00:00,-2.0
916 days 08:00:00,-2.0
918 days 23:00:00,-14.0
919 days 00:00:00,-13.0
921 days 15:00:00,-6.0
921 days 16:00:00,-4.0
924 days 07:00:00,-9.0
924 days 08:00:00,-5.0
926 days 23:00:00,-35.0
927 days 00:00:00,-30.0
929 days 15:00:00,-13.0
929 days 16:00:00,-12.0
932 days 07:00:00,-47.0
932 days 08:00:00,-61.0
934 days 23:00:00,-28.0
935 days 00:00:00,-27.0
937 days 15:00:00,-4.0
937 days 16:00:00,-4.0
940 days 07:00:00,2.0
940 days 08:00:00,4.0
942 days 23:00:00,4.0
943 days 00:00:00,8.0
945 days 15:00:00,-17.0
945 days 16:00:00,-21.0
948 days 07:00:00,5.0
948 days 08:00:00,12.0
950 days 23:00:00,-10.0
951 days 00:00:00,-11.0
953 days 15:00:00,0.0
953 days 16:00:00,0.0
956 days 07:00:00,-13.0
956 days 08:00:00,-14.0
958 days 23:00:00,-12.0
959 days 00:00:00,-11.0
961 days 15:00:00,-1.0
961 days 16:00:00,-3.0
964 days 07:00:00,-47.0
964 days 08:00:00,-43.0
966 days 23:00:00,-12.0
967 days 00:00:00,-10.0
969 days 15:00:00,8.0
969 days 16:00:00,8.0
972 days 07:00:00,-5.0
972 days 08:00:00,-3.0
974 days 23:00:00,-36.0
975 days 00:00:00,-40.0
977 days 15:00:00,-12.0
977 days 16:00:00,-14.0
980 days 07:00:00,-8.0
980 days 08:00:00,-6.0
982 days 23:00:00,-11.0
983 days 00:00:00,-7.0
985 days 15:00:00,-17.0
985 days 16:00:00,-22.0
988 days 07:00:00,-11.0
988 days 08:00:00,-16.0
990 days 23:00:00,-46.0
991 days 00:00:00,-41.0
993 days 15:00:00,-29.0
993 days 16:00:00,-30.0
996 days 07:00:00,3.0
996 days 08:00:00,2.0
998 days 23:00:00,-6.0
999 days 00:00:00,-3.0
1001 days 15:00:00,5.0
1001 days 16:00:00,4.0
1004 days 07:00:00,3.0
1004 days 08:00:00,12.0
1006 days 23:00:00,2.0
1007 days 00:00:00,-2.0
1009 days 15:00:00,24.0
1009 days 16:00:00,4.0
1012 days 07:00:00,-22.0
1012 days 08:00:00,-22.0
1014 days 23:00:00,-12.0
1015 days 00:00:00,-12.0
1017 days 15:00:00,6.0
1017 days 16:00:00,5.0
1020 days 07:00:00,-29.0
1020 days 08:00:00,-24.0
1022 days 23:00:00,-22.0
1023 days 00:00:00,-21.0
1025 days 15:00:00,-4.0
1025 days 16:00:00,-7.0
1028 days 07:00:00,-9.0
1028 days 08:00:00,-4.0
1030 days 23:00:00,-2.0
1031 days 00:00:00,2.0
1033 days 15:00:00,-11.0
1033 days 16:00:00,-15.0
1036 days 07:00:00,2.0
1036 days 08:00:00,4.0
1038 days 23:00:00,-13.0
1039 days 00:00:00,-12.0
1041 days 15:00:00,17.0
1041 days 16:00:00,16.0
1044 days 07:00:00,-11.0
1044 days 08:00:00,-10.0
1046 days 23:00:00,-41.0
1047 days 00:00:00,-45.0
1049 days 15:00:00,4.0
1049 days 16:00:00,3.0
1052 days 07:00:00,-2.0
1052 days 08:00:00,2.0
1054 days 23:00:00,-2.0
1055 days 00:00:00,-1.0
1057 days 15:00:00,8.0
1057 days 16:00:00,12.0
1060 days 07:00:00,4.0
1060 days 08:00:00,6.0
1062 days 23:00:00,-2.0
1063 days 00:00:00,-1.0
1065 days 15:00:00,-6.0
1065 days 16:00:00,-10.0
1068 days 07:00:00,-8.0
1068 days 08:00:00,-7.0
1070 days 23:00:00,-23.0
1071 days 00:00:00,-25.0
1073 days 15:00:00,-32.0
1073 days 16:00:00,-35.0
1076 days 07:00:00,-12.0
1076 days 08:00:00,-12.0
1078 days 23:00:00,-15.0
1079 days 00:00:00,-21.0
1081 days 15:00:00,3.0
1081 days 16:00:00,2.0
1084 days 07:00:00,3.0
1084 days 08:00:00,4.0
1086 days 23:00:00,-6.0
1087 days 00:00:00,-5.0
1089 days 15:00:00,12.0
1089 days 16:00:00,10.0
1092 days 07:00:00,-15.0
1092 days 08:00:00,0.0
1094 days 23:00:00,-5.0
1095 days 00:00:00,-1.0
1097 days 15:00:00,-12.0
1097 days 16:00:00,-10.0
1100 days 07:00:00,30.0
1100 days 08:00:00,32.0
1102 days 23:00:00,-22.0
1103 days 00:00:00,-24.0
1105 days 15:00:00,12.0
1105 days 16:00:00,15.0
1108 days 07:00:00,0.0
1108 days 08:00:00,0.0
1110 days 23:00:00,-8.0
1111 days 00:00:00,-6.0
1113 days 15:00:00,-9.0
1113 days 16:00:00,-6.0
1116 days 07:00:00,-1.0
1116 days 08:00:00,-3.0
1118 days 23:00:00,-6.0
1119 days 00:00:00,-18.0
1121 days 15:00:00,-2.0
1121 days 16:00:00,-2.0
1124 days 07:00:00,-2.0
1124 days 08:00:00,-4.0
1126 days 23:00:00,4.0
1127 days 00:00:00,2.0
1129 days 15:00:00,2.0
1129 days 16:00:00,0.0
1132 days 07:00:00,-9.0
1132 days 08:00:00,-2.0
1134 days 23:00:00,-4.0
1135 days 00:00:00,-4.0
1137 days 15:00:00,-7.0
1137 days 16:00:00,-5.0
1140 days 07:00:00,-15.0
1140 days 08:00:00,-17.0
1142 days 23:00:00,-2.0
1143 days 00:00:00,-5.0
1145 days 15:00:00,7.0
1145 days 16:00:00,2.0
1148 days 07:00:00,-17.0
1148 days 08:00:00,-18.0
1150 days 23:00:00,-9.0
1151 days 00:00:00,-11.0
1153 days 15:00:00,10.0
1153 days 16:00:00,10.0
1156 days 07:00:00,2.0
1156 days 08:00:00,4.0
1158 days 23:00:00,-14.0
1159 days 00:00:00,-12.0
1161 days 15:00:00,-19.0
1161 days 16:00:00,-18.0
1164 days 07:00:00,-23.0
1164 days 08:00:00,-18.0
1166 days 23:00:00,-22.0
1167 days 00:00:00,-16.0
1169 days 15:00:00,-11.0
1169 days 16:00:00,-15.0
1172 days 07:00:00,-6.0
1172 days 08:00:00,-6.0
1174 days 23:00:00,-9.0
1175 days 00:00:00,-6.0
1177 days 15:00:00,12.0
1177 days 16:00:00,17.0
1180 days 07:00:00,-29.0
1180 days 08:00:00,-25.0
1182 days 23:00:00,-6.0
1183 days 00:00:00,-9.0
1185 days 15:00:00,-1.0
1185 days 16:00:00,0.0
1188 days 07:00:00,-41.0
1188 days 08:00:00,-46.0
1190 days 23:00:00,-38.0
1191 days 00:00:00,-44.0
1193 days 15:00:00,-24.0
1193 days 16:00:00,-21.0
1196 days 07:00:00,-14.0
1196 days 08:00:00,-12.0
1198 days 23:00:00,-2.0
1199 days 00:00:00,4.0
1201 days 15:00:00,-8.0
1201 days 16:00:00,-8.0
1204 days 07:00:00,11.0
1204 days 08:00:00,10.0
1206 days 23:00:00,12.0
1207 days 00:00:00,13.0
1209 days 15:00:00,3.0
1209 days 16:00:00,4.0
1212 days 07:00:00,-3.0
1212 days 08:00:00,-2.0
1214 days 23:00:00,-14.0
1215 days 00:00:00,-20.0
1217 days 15:00:00,-25.0
1217 days 16:00:00,-22.0
1220 days 07:00:00,-26.0
1220 days 08:00:00,-22.0
1222 days 23:00:00,-17.0
1223 days 00:00:00,-15.0
1225 days 15:00:00,-12.0
1225 days 16:00:00,-15.0
1228 days 07:00:00,-2.0
1228 days 08:00:00,0.0
1230 days 23:00:00,-104.0
1231 days 00:00:00,-97.0
1233 days 15:00:00,-14.0
1233 days 16:00:00,-11.0
1236 days 07:00:00,-12.0
1236 days 08:00:00,-14.0
1238 days 23:00:00,0.0
1239 days 00:00:00,-1.0
1241 days 15:00:00,-28.0
1241 days 16:00:00,-30.0
1244 days 07:00:00,-34.0
1244 days 08:00:00,-43.0
1246 days 23:00:00,-29.0
1247 days 00:00:00,-29.0
1249 days 15:00:00,-34.0
1249 days 16:00:00,-28.0
1252 days 07:00:00,-28.0
1252 days 08:00:00,-28.0
1254 days 23:00:00,-8.0
1255 days 00:00:00,-9.0
1257 days 15:00:00,-3.0
1257 days 16:00:00,-4.0
1260 days 07:00:00,-9.0
1260 days 08:00:00,-5.0
1262 days 23:00:00,-12.0
1263 days 00:00:00,-13.0
1265 days 15:00:00,-5.0
1265 days 16:00:00,-7.0
1268 days 07:00:00,12.0
1268 days 08:00:00,12.0
1270 days 23:00:00,-1.0
1271 days 00:00:00,-13.0
1273 days 15:00:00,-26.0
1273 days 16:00:00,-28.0
1276 days 07:00:00,-14.0
1276 days 08:00:00,-16.0
1278 days 23:00:00,-1.0
1279 days 00:00:00,1.0
1281 days 15:00:00,-2.0
1281 days 16:00:00,-1.0
1284 days 07:00:00,13.0
1284 days 08:00:00,14.0
1286 days 23:00:00,-22.0
1287 days 00:00:00,-16.0
1289 days 15:00:00,-19.0
1289 days 16:00:00,-18.0
1292 days 07:00:00,-8.0
1292 days 08:00:00,-4.0
